,Country,Region,Population,Year,World Population,Urban,Urban percentage,Country urban%,Country Urban Population,Country Rural% ,Country Rural Population
0,China,Asia,1411778724,2020.0,7794798739.0,4378993944.0,56.0,10.142610629372403,14319121892.364208,7.911675253421685,11169534793.978043
1,India,Asia,1386141732,2019.0,7713468100.0,4299438618.0,56.0,9.95842735536215,13803791742.357872,7.768004328417314,10767554973.975872
2,United States,Americas,332960297,2018.0,7631091040.0,4219817318.0,55.0,2.392079289835786,796467430.7912724,1.8659253729813499,621279066.3677061
3,Indonesia,Asia,271350000,2017.0,7547858925.0,4140188594.0,55.0,1.9494537971803303,528984287.86488265,1.5206583323010712,412630638.46989566
4,Pakistan,Asia,225200000,2016.0,7464022049.0,4060652683.0,54.0,1.617899373963554,364350939.0165924,1.2620315328328773,284209501.19396394
5,Brazil,Americas,214143381,2015.0,7379797139.0,3981497663.0,54.0,1.538465550880723,329452214.61762553,1.2000697130081919,256986985.7792739
6,Nigeria,Africa,211401000,2014.0,7295290765.0,3902831934.0,53.0,1.518763523780059,321068127.69062823,1.1847012791847382,250447035.12093285
7,Bangladesh,Asia,171950056,2013.0,7210581976.0,3824990329.0,53.0,1.235336980263757,212416262.9352239,0.96361630881163,165693878.26267308
8,Russia,"Europe,Asia",146171015,2012.0,7125828059.0,3747842586.0,53.0,1.0501331867678385,153499033.79503953,0.8191493344413298,119735889.65186363
9,Mexico,Americas,126014024,2011.0,7041194301.0,3671423872.0,52.0,0.9053197626120261,114082986.29346615,0.7061885962129617,88989666.71170646
10,Japan,Asia,125470000,2010.0,6956823603.0,3594868146.0,52.0,0.9014113430337795,113100081.21044831,0.703139859789259,88222958.20775832
11,Ethiopia,Africa,117876000,2009.0,6872767093.0,3516830263.0,51.0,0.8468539369685963,99823754.67411026,0.6605827218659335,77866848.92266877
12,Philippines,Asia,111287016,2008.0,6789088686.0,3439719128.0,51.0,0.799516845100675,88975843.93298835,0.623657741504782,69405009.05736655
13,Egypt,Africa,102741996,2007.0,6705946610.0,3363609560.0,50.0,0.7381270471055327,75836646.12120844,0.5757710421766844,59155866.11223274
14,Vietnam,Asia,98510000,2006.0,6623517833.0,3289446226.0,50.0,0.7077232119411621,69717813.60832387,0.552054734899497,54382911.93494944
15,DR Congo,Africa,92378000,2005.0,6541907027.0,3215905863.0,49.0,0.663669220106595,61308435.21500704,0.517690714653799,47823232.83828864
16,Iran,Asia,85066199,2004.0,6461159389.0,3143044892.0,49.0,0.6111392100690901,51987289.66044002,0.4767150333758284,40552335.895439856
17,Turkey,"Asia,Europe",83614362,2003.0,6381185114.0,3071743997.0,48.0,0.6007088096543605,50227883.86702879,0.4685788696345607,39179923.23117497
18,Germany,Europe,83129285,2002.0,6301773188.0,3001808223.0,48.0,0.5972238817030988,49646794.270903185,0.4658604750082198,38726648.19719368
19,France,Europe,67505000,2001.0,6222626606.0,2933078510.0,47.0,0.48497467690679263,32738215.564593036,0.37830123722861175,25537225.019117437
20,United Kingdom,Europe,67081234,2000.0,6143493823.0,2868307513.0,47.0,0.48193022421537596,32328474.1422641,0.3759264323682989,25217608.976483036
21,Thailand,Asia,66735055,1999.0,6064239055.0,2808231655.0,46.0,0.4794431780902457,31995666.859227344,0.37398642875371385,24958004.892132677
22,SouthAfrica,Africa,60142978,1998.0,5984793942.0,2749213598.0,46.0,0.432083865250905,25986810.40194014,0.3370441150731528,20270836.797874097
23,Tanzania,Africa,59441988,1997.0,5905045788.0,2690813541.0,46.0,0.42704775831416114,25384567.725137267,0.3331157337045892,19801061.445479386
24,Italy,Europe,59097904,1996.0,5824891951.0,2632941583.0,45.0,0.4245757632511466,25091537.697342988,0.33118747056985004,19572485.341739822
25,Myanmar,Asia,55294979,1995.0,5744212979.0,2575505235.0,45.0,0.3972544933722374,21966178.868673507,0.3098756976258071,17134570.192829352
26,SouthKorea,Asia,51671569,1994.0,5663150427.0,2518254111.0,44.0,0.37122290913327965,19181670.16366099,0.2895699352972903,14962532.892039472
27,Colombia,Americas,51049498,1993.0,5581597546.0,2461223528.0,44.0,0.36675377822093114,18722596.26778187,0.2860838197659365,14604435.384973535
28,Kenya,Africa,47564296,1992.0,5498919809.0,2404337297.0,44.0,0.34171511865638177,16253439.051447265,0.2665525816562908,12678385.893463986
29,Spain,Europe,47394223,1991.0,5414289444.0,2347462336.0,43.0,0.3404932669679799,16137413.824678972,0.26559948445876197,12587881.1951236
30,Argentina,Americas,45808747,1990.0,5327231061.0,2290228096.0,43.0,0.32910276684438206,15075785.383374287,0.2567144013923777,11759765.06463988
31,Algeria,Africa,44700000,1989.0,5237441558.0,2233140502.0,43.0,0.32113722032047454,14354833.748325212,0.25050093036247606,11197391.58720268
32,Sudan,Africa,44069000,1988.0,5145426008.0,2176126537.0,42.0,0.3166039409911184,13952419.075537596,0.246964776289574,10883490.726305237
33,Uganda,Africa,42885900,1987.0,5052522147.0,2118882551.0,42.0,0.3081042218555221,13213326.848073736,0.2403346275040741,10306966.801676972
34,Ukraine,Europe,41270899,1986.0,4960567912.0,2062604394.0,42.0,0.29650160592812197,12236887.831597323,0.23128408493055444,9545302.109476333
35,Iraq,Asia,41190700,1985.0,4870921740.0,2007939063.0,41.0,0.2959254340280664,12189375.775419876,0.23083464591234099,9508240.649381464
36,Canada,Americas,38527066,1984.0,4784011621.0,1955106433.0,41.0,0.2767891472560059,10663873.744415859,0.21590751402989977,8318283.042925875
37,Poland,Europe,38151000,1983.0,4699569304.0,1903822436.0,41.0,0.2740873846184882,10456707.810579943,0.2138000222429267,8156684.648589897
38,Morocco,Africa,36469998,1982.0,4617386542.0,1854134229.0,40.0,0.262010599168082,9555526.027638752,0.20437960691985774,7453723.855607998
39,Uzbekistan,Asia,35286126,1981.0,4536996762.0,1804215203.0,40.0,0.25350533376997814,8945221.149079503,0.197745131809565,6977659.636918918
40,Saudi Arabia,Asia,35013414,1980.0,4458003514.0,1754201029.0,39.0,0.2515460949863532,8807487.56384051,0.19621684076435225,6870221.479454342
41,Peru,Americas,33035304,1979.0,4380506100.0,1706021638.0,39.0,0.23733480310966115,7840427.370507802,0.18513141804937866,6115872.675212311
42,Afghanistan,Asia,32890171,1978.0,4304533501.0,1659306117.0,39.0,0.23629212731107568,7771688.473215049,0.18431808580046824,6062253.360370073
43,Malaysia,Asia,32688000,1977.0,4229506060.0,1616419308.0,38.0,0.23483967467193895,7676439.285676341,0.18318510988117712,5987954.871795918
44,Angola,Africa,32097671,1976.0,4154666864.0,1577376141.0,38.0,0.2305985871074073,7401677.582038401,0.17987687803061897,5773628.851533935
45,Mozambique,Africa,30832244,1975.0,4079480606.0,1538624994.0,38.0,0.22150740792847046,6829570.449058136,0.17278536481348705,5327360.527558447
46,Ghana,Africa,30792608,1974.0,4003794172.0,1501134655.0,37.0,0.22122265189123058,6812022.4004071215,0.17256324278047033,5313672.290147853
47,Yemen,Asia,30491000,1973.0,3927780238.0,1462178370.0,37.0,0.21905581621457693,6679230.892198665,0.17087301717409972,5210089.166655474
48,Nepal,Asia,30378055,1972.0,3851650245.0,1424734781.0,37.0,0.21824438795173362,6629840.020639101,0.1702400680112409,5171562.149249217
49,Venezuela,Americas,28705000,1971.0,3775759617.0,1388834099.0,37.0,0.206224695957477,5919679.897459378,0.16086418805491892,4617606.518116448
50,IvoryCoast,Africa,27087732,1970.0,3700437046.0,1354215496.0,37.0,0.19460579327216931,5271429.573803926,0.15180094110535602,4111943.2100096676
51,Madagascar,Africa,26923353,1969.0,3625680627.0,1319833474.0,36.0,0.19342484886189953,5207645.484880569,0.15087975335519824,4062188.8601349364
52,Australia,Oceania,25922849,1968.0,3551599127.0,1285933432.0,36.0,0.1862369501263399,4827792.33634564,0.14527288125606225,3765886.964595832
53,NorthKorea,Asia,25660000,1967.0,3478769962.0,1252566565.0,36.0,0.1843485698752433,4730384.302998743,0.1437998629329113,3689904.482858504
54,Cameroon,Africa,24348251,1966.0,3407922630.0,1219993032.0,36.0,0.17492460057729786,4259108.080930794,0.13644875902011383,3322288.6332602454
55,Niger,Africa,24112753,1965.0,3339583597.0,1188469224.0,36.0,0.173232717509937,4177117.728835886,0.13512901700448737,3258332.610162004
56,Taiwan,Asia,23413879,1964.0,3273978338.0,1157813355.0,35.0,0.1682118125051439,3938491.024366126,0.1312124938007705,3072193.4531394904
57,SriLanka,Asia,22156000,1963.0,3211001009.0,1122561940.0,35.0,0.15917486025549069,3526678.2038206514,0.12416327993536957,2750961.6302480483
58,BurkinaFaso,Africa,21510181,1962.0,3150420795.0,1088376703.0,35.0,0.15453511711253434,3324078.339946811,0.12054407948020707,2592924.9680976397
59,Mali,Africa,20856000,1961.0,3091843507.0,1055435648.0,34.0,0.1498352990381167,3124964.996738962,0.11687801797851903,2437607.9429599927
60,Chile,Americas,19678363,1960.0,3034949748.0,1023845517.0,34.0,0.14137482761246697,2782025.1768205483,0.11027848410538088,2170100.0413154154
61,Romania,Europe,19186201,1959.0,2979576185.0,992820546.0,33.0,0.13783899905257066,2644606.74146143,0.10752038480137514,2062907.7143965287
62,Kazakhstan,Asia,19128608,1958.0,2925686705.0,962537113.0,33.0,0.1374252349378074,2628753.4484332222,0.10719763088454368,2050541.4597191291
63,Malawi,Africa,18898441,1957.0,2873306090.0,933113168.0,32.0,0.13577165125571564,2565872.540728718,0.10590776404698797,2001491.6302839234
64,Zambia,Africa,18400556,1956.0,2822443282.0,904685164.0,32.0,0.1321947070736293,2432456.1104119117,0.10311759277822911,1897421.0405010004
65,Syria,Asia,18276000,1955.0,2773019936.0,877008842.0,32.0,0.1312998621605591,2399636.2808463783,0.10241957501800028,1871820.1530289731
66,Ecuador,Americas,17886660,1954.0,2724846741.0,850179106.0,31.0,0.1285027354187342,2298484.737504856,0.10023769510240013,1792917.5714802963
67,Netherlands,Europe,17673631,1953.0,2677608960.0,824289989.0,31.0,0.12697227589059884,2244061.1513206405,0.09904387043362635,1750464.8188557222
68,Senegal,Africa,17223497,1952.0,2630861562.0,799282533.0,30.0,0.12373838816058239,2131207.7572686262,0.09652129804463794,1662434.2873079274
69,Guatemala,Americas,17109746,1951.0,2584034261.0,775067697.0,30.0,0.1229211693697843,2103149.9859399893,0.09588383201936586,1640548.0113580169
